raceId,year,round,circuitId,name.x,date,location,country,temperature ,wind speed
973,2017,5,4,Spanish Grand Prix,2017-05-14,MontmelÌ_,Spain,67.42,10
974,2017,6,6,Monaco Grand Prix,2017-05-28,Monte-Carlo,Monaco,72.69,9
975,2017,7,7,Canadian Grand Prix,2017-06-11,Montreal,Canada,77.71,29
976,2017,8,73,Azerbaijan Grand Prix,2017-06-25,Baku,Azerbaijan,77.29,18
977,2017,9,70,Austrian Grand Prix,2017-07-09,Spielburg,Austria,77,13
978,2017,10,9,British Grand Prix,2017-07-16,Silverstone,UK,71.71,13
979,2017,11,11,Hungarian Grand Prix,2017-07-30,Budapest,Hungary,74.52,13
980,2017,12,13,Belgian Grand Prix,2017-08-27,Spa,Belgium,67.21,9
981,2017,13,14,Italian Grand Prix,2017-09-03,Monza,Italy,65.67,6
982,2017,14,15,Singapore Grand Prix,2017-09-17,Marina Bay,Singapore,83.5,16
983,2017,15,2,Malaysian Grand Prix,2017-10-01,Kuala Lumpur,Malaysia,82.13,8
984,2017,16,22,Japanese Grand Prix,2017-10-08,Suzuka,Japan,71.22,10
985,2017,17,69,United States Grand Prix,2017-10-22,Austin,USA,68.35,22
986,2017,18,32,Mexican Grand Prix,2017-10-29,Mexico City,Mexico,63.77,14
987,2017,19,18,Brazilian Grand Prix,2017-11-12,SÌ£o Paulo,Brazil,70.5,13
988,2017,20,24,Abu Dhabi Grand Prix,2017-11-26,Abu Dhabi,UAE,75.21,14
989,2018,1,1,Australian Grand Prix,2018-03-25,Melbourne,Australia,67.82,35
990,2018,2,3,Bahrain Grand Prix,2018-04-08,Sakhir,Bahrain,79.22,12
991,2018,3,17,Chinese Grand Prix,2018-05-15,Shanghai,China,60,16
992,2018,4,73,Azerbaijan Grand Prix,2018-04-29,Baku,Azerbaijan,59.8,32
993,2018,5,4,Spanish Grand Prix,2018-05-13,MontmelÌ_,Spain,57.8,21
994,2018,6,6,Monaco Grand Prix,2018-05-27,Monte-Carlo,Monaco,73.65,20
995,2018,7,7,Canadian Grand Prix,2018-06-10,Montreal,Canada,60.33,10
996,2018,8,34,French Grand Prix,2018-06-24,Le Castellet,France,70,15
997,2018,9,70,Austrian Grand Prix,2018-07-01,Spielburg,Austria,61,9
998,2018,10,9,British Grand Prix,2018-07-08,Silverstone,UK,80,12
999,2018,11,10,German Grand Prix,2018-07-22,Hockenheim,Germany,71,7
1000,2018,12,11,Hungarian Grand Prix,2018-07-29,Budapest,Hungary,80.08,10
1001,2018,13,13,Belgian Grand Prix,2018-08-26,Spa,Belgium,57.19,16
1002,2018,14,14,Italian Grand Prix,2018-09-02,Monza,Italy,66.21,10
1003,2018,15,15,Singapore Grand Prix,2018-09-16,Marina Bay,Singapore,83.72,16
1004,2018,16,71,Russian Grand Prix,2018-09-30,Sochi,Russia,70,13
1005,2018,17,22,Japanese Grand Prix,2018-10-07,Suzuka,Japan,76.24,20
1006,2018,18,69,United States Grand Prix,2018-10-21,Austin,USA,63.5,14
1007,2018,19,32,Mexican Grand Prix,2018-10-28,Mexico City,Mexico,60.58,14
1008,2018,20,18,Brazilian Grand Prix,2018-11-11,SÌ£o Paulo,Brazil,69.18,15
1009,2018,21,24,Abu Dhabi Grand Prix,2018-11-25,Abu Dhabi,UAE,78.32,23
